arquivo;ativo;fractal;linhas;colunas;status;observacao;confiabilidade;tags
WDO_SEMANAL_2020_2022.csv;WDO;SEMANAL;104;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2024_2026.csv;WDO;SEMANAL;105;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2026_2026.csv;WDO;SEMANAL;22;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_Semanal_2005_2007.csv;WIN;SEMANAL;85;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_SEMANAL_2007_2009.csv;WIN;SEMANAL;105;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_SEMANAL_2009_2011.csv;WIN;SEMANAL;104;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_SEMANAL_2011_2013.csv;WIN;SEMANAL;104;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_SEMANAL_2013_2015.csv;WIN;SEMANAL;105;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_SEMANAL_2015_2017.csv;WIN;SEMANAL;104;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_SEMANAL_2017_2019.csv;WIN;SEMANAL;104;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_SEMANAL_2018_2020.csv;WIN;SEMANAL;53;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_SEMANAL_2020_2022.csv;WIN;SEMANAL;104;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_SEMANAL_2022_2024.csv;WIN;SEMANAL;104;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_SEMANAL_2024_2026.csv;WIN;SEMANAL;105;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_SEMANAL_2026_2026.csv;WIN;SEMANAL;22;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
