arquivo;ativo;fractal;score_confianca_memoria;selo_confianca;motivos
WDO_DIARIO_2009_2010.csv;WDO;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WDO_DIARIO_2010_2011.csv;WDO;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WDO_DIARIO_2013_2014.csv;WDO;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WDO_DIARIO_2015_2017.csv;WDO;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WDO_DIARIO_2019_2020.csv;WDO;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WDO_DIARIO_2020_2022.csv;WDO;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WDO_DIARIO_2022_2024.csv;WDO;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WDO_DIARIO_2024_2026.csv;WDO;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WDO_DIARIO_2026_2026.csv;WDO;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WDO_Diário_2011_2013.csv;WDO;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2017_2019.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2005_2006.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2007_2008.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2008_2009.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2009_2010.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2010_2011.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2011_2013.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2013_2015.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2015_2017.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2019_2020.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2020_2022.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2022_2024.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2024_2026.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WIN_DIARIO_2026_2026.csv;WIN;DIARIO;100.0;CONFIANCA_MAXIMA;OK
WDO_SEMANAL_2009_2011.csv;WDO;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WDO_SEMANAL_2011_2013.csv;WDO;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WDO_SEMANAL_2013_2015.csv;WDO;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WDO_SEMANAL_2015_2017.csv;WDO;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WDO_SEMANAL_2017_2019.csv;WDO;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WDO_SEMANAL_2019_2020.csv;WDO;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WDO_SEMANAL_2020_2022.csv;WDO;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WDO_SEMANAL_2024_2026.csv;WDO;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WDO_SEMANAL_2026_2026.csv;WDO;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WIN_Semanal_2005_2007.csv;WIN;SEMANAL;97.25;CONFIANCA_MAXIMA;HIGIENIZACAO_1_OCORRENCIAS
WIN_SEMANAL_2007_2009.csv;WIN;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WIN_SEMANAL_2009_2011.csv;WIN;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WIN_SEMANAL_2011_2013.csv;WIN;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WIN_SEMANAL_2013_2015.csv;WIN;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WIN_SEMANAL_2015_2017.csv;WIN;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WIN_SEMANAL_2017_2019.csv;WIN;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WIN_SEMANAL_2018_2020.csv;WIN;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WIN_SEMANAL_2020_2022.csv;WIN;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WIN_SEMANAL_2022_2024.csv;WIN;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WIN_SEMANAL_2024_2026.csv;WIN;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WIN_SEMANAL_2026_2026.csv;WIN;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WDOFUT_F_0_Semanal.csv;WDO;SEMANAL;100.0;CONFIANCA_MAXIMA;OK
WINFUT_F_0_Semanal.csv;WIN;SEMANAL;97.25;CONFIANCA_MAXIMA;HIGIENIZACAO_1_OCORRENCIAS
